分类: 📺央视频道, 名称: CCTV-8K, 有效: 2, IPv4: 7, IPv6: 0, 最小延迟: 525 ms, 最高速率: 9.97 M/s, 平均速率: 9.88 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-4K, 有效: 5, IPv4: 31, IPv6: 0, 最小延迟: 78 ms, 最高速率: 6.73 M/s, 平均速率: 5.35 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.83, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-16 奥林匹克4K, 有效: 5, IPv4: 89, IPv6: 0, 最小延迟: 472 ms, 最高速率: 6.23 M/s, 平均速率: 3.04 M/s, 最高分辨率: 1920x1080, 平均帧率: 29.17, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-1 综合, 有效: 5, IPv4: 144, IPv6: 0, 最小延迟: 446 ms, 最高速率: 8.77 M/s, 平均速率: 4.38 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-2 财经, 有效: 5, IPv4: 134, IPv6: 0, 最小延迟: 446 ms, 最高速率: 8.77 M/s, 平均速率: 4.39 M/s, 最高分辨率: 1920x1080, 平均帧率: 33.33, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-3 综艺, 有效: 5, IPv4: 131, IPv6: 0, 最小延迟: 141 ms, 最高速率: 8.77 M/s, 平均速率: 4.28 M/s, 最高分辨率: 1920x1080, 平均帧率: 28.57, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-4 中文国际, 有效: 5, IPv4: 125, IPv6: 0, 最小延迟: 372 ms, 最高速率: 6.79 M/s, 平均速率: 3.97 M/s, 最高分辨率: 1920x1080, 平均帧率: 29.17, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-5 体育, 有效: 5, IPv4: 132, IPv6: 0, 最小延迟: 398 ms, 最高速率: 6.64 M/s, 平均速率: 3.10 M/s, 最高分辨率: 1920x1080, 平均帧率: 29.17, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-5+ 体育赛事, 有效: 5, IPv4: 105, IPv6: 0, 最小延迟: 460 ms, 最高速率: 6.92 M/s, 平均速率: 2.68 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-6 电影, 有效: 5, IPv4: 129, IPv6: 0, 最小延迟: 440 ms, 最高速率: 10.69 M/s, 平均速率: 5.32 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-7 国防军事, 有效: 5, IPv4: 125, IPv6: 0, 最小延迟: 455 ms, 最高速率: 8.77 M/s, 平均速率: 4.48 M/s, 最高分辨率: 1920x1080, 平均帧率: 33.33, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-8 电视剧, 有效: 5, IPv4: 127, IPv6: 0, 最小延迟: 411 ms, 最高速率: 8.95 M/s, 平均速率: 3.59 M/s, 最高分辨率: 1920x1080, 平均帧率: 29.17, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-9 纪录, 有效: 5, IPv4: 130, IPv6: 0, 最小延迟: 455 ms, 最高速率: 8.77 M/s, 平均速率: 4.54 M/s, 最高分辨率: 1920x1080, 平均帧率: 33.33, 视频编解码器: h264, 音频编解码器: aac
